cohort,order_month,n_customers,period_number
2016-10,2016-10,24,0
2016-10,2017-04,1,6
2016-10,2017-07,1,9
2016-10,2017-09,1,11
2016-10,2017-11,1,13
2016-10,2018-01,1,15
2016-10,2018-03,1,17
2016-10,2018-05,2,19
2016-10,2018-06,2,20
2016-12,2016-12,1,0
2016-12,2017-01,1,1
2017-01,2017-01,77,0
2017-01,2017-02,3,1
2017-01,2017-03,2,2
2017-01,2017-04,1,3
2017-01,2017-05,3,4
2017-01,2017-06,1,5
2017-01,2017-07,3,6
2017-01,2017-08,1,7
2017-01,2017-09,1,8
2017-01,2017-11,3,10
2017-01,2017-12,1,11
2017-01,2018-01,5,12
2017-01,2018-02,3,13
2017-01,2018-03,1,14
2017-01,2018-04,1,15
2017-01,2018-05,2,16
2017-01,2018-06,3,17
2017-01,2018-08,1,19
2017-02,2017-02,132,0
2017-02,2017-03,4,1
2017-02,2017-04,5,2
2017-02,2017-05,2,3
2017-02,2017-06,7,4
2017-02,2017-07,2,5
2017-02,2017-08,4,6
2017-02,2017-09,3,7
2017-02,2017-10,2,8
2017-02,2017-11,3,9
2017-02,2017-12,2,10
2017-02,2018-01,5,11
2017-02,2018-02,2,12
2017-02,2018-03,3,13
2017-02,2018-04,2,14
2017-02,2018-05,1,15
2017-02,2018-06,1,16
2017-02,2018-07,3,17
2017-03,2017-03,223,0
2017-03,2017-04,13,1
2017-03,2017-05,9,2
2017-03,2017-06,10,3
2017-03,2017-07,9,4
2017-03,2017-08,4,5
2017-03,2017-09,4,6
2017-03,2017-10,8,7
2017-03,2017-11,8,8
2017-03,2017-12,2,9
2017-03,2018-01,9,10
2017-03,2018-02,3,11
2017-03,2018-03,5,12
2017-03,2018-04,3,13
2017-03,2018-05,4,14
2017-03,2018-06,6,15
2017-03,2018-07,2,16
2017-03,2018-08,4,17
2017-04,2017-04,210,0
2017-04,2017-05,14,1
2017-04,2017-06,5,2
2017-04,2017-07,4,3
2017-04,2017-08,7,4
2017-04,2017-09,6,5
2017-04,2017-10,8,6
2017-04,2017-11,7,7
2017-04,2017-12,7,8
2017-04,2018-01,4,9
2017-04,2018-02,6,10
2017-04,2018-03,2,11
2017-04,2018-04,1,12
2017-04,2018-05,1,13
2017-04,2018-06,2,14
2017-04,2018-07,2,15
2017-04,2018-08,3,16
2017-05,2017-05,342,0
2017-05,2017-06,17,1
2017-05,2017-07,17,2
2017-05,2017-08,13,3
2017-05,2017-09,11,4
2017-05,2017-10,12,5
2017-05,2017-11,15,6
2017-05,2017-12,5,7
2017-05,2018-01,9,8
2017-05,2018-02,9,9
2017-05,2018-03,9,10
2017-05,2018-04,12,11
2017-05,2018-05,9,12
2017-05,2018-06,1,13
2017-05,2018-07,7,14
2017-05,2018-08,8,15
2017-06,2017-06,274,0
2017-06,2017-07,14,1
2017-06,2017-08,11,2
2017-06,2017-09,12,3
2017-06,2017-10,8,4
2017-06,2017-11,11,5
2017-06,2017-12,11,6
2017-06,2018-01,7,7
2017-06,2018-02,4,8
2017-06,2018-03,7,9
2017-06,2018-04,9,10
2017-06,2018-05,10,11
2017-06,2018-06,5,12
2017-06,2018-07,4,13
2017-06,2018-08,6,14
2017-07,2017-07,354,0
2017-07,2017-08,20,1
2017-07,2017-09,13,2
2017-07,2017-10,9,3
2017-07,2017-11,11,4
2017-07,2017-12,8,5
2017-07,2018-01,12,6
2017-07,2018-02,4,7
2017-07,2018-03,7,8
2017-07,2018-04,10,9
2017-07,2018-05,8,10
2017-07,2018-06,11,11
2017-07,2018-07,5,12
2017-07,2018-08,10,13
2017-08,2017-08,361,0
2017-08,2017-09,28,1
2017-08,2017-10,14,2
2017-08,2017-11,11,3
2017-08,2017-12,14,4
2017-08,2018-01,22,5
2017-08,2018-02,12,6
2017-08,2018-03,11,7
2017-08,2018-04,6,8
2017-08,2018-05,6,9
2017-08,2018-06,10,10
2017-08,2018-07,8,11
2017-08,2018-08,5,12
2017-09,2017-09,344,0
2017-09,2017-10,28,1
2017-09,2017-11,22,2
2017-09,2017-12,12,3
2017-09,2018-01,18,4
2017-09,2018-02,9,5
2017-09,2018-03,9,6
2017-09,2018-04,10,7
2017-09,2018-05,12,8
2017-09,2018-06,7,9
2017-09,2018-07,11,10
2017-09,2018-08,3,11
2017-10,2017-10,347,0
2017-10,2017-11,31,1
2017-10,2017-12,11,2
2017-10,2018-01,4,3
2017-10,2018-02,10,4
2017-10,2018-03,9,5
2017-10,2018-04,9,6
2017-10,2018-05,16,7
2017-10,2018-06,12,8
2017-10,2018-07,9,9
2017-10,2018-08,9,10
2017-11,2017-11,492,0
2017-11,2017-12,40,1
2017-11,2018-01,28,2
2017-11,2018-02,12,3
2017-11,2018-03,13,4
2017-11,2018-04,13,5
2017-11,2018-05,8,6
2017-11,2018-06,14,7
2017-11,2018-07,9,8
2017-11,2018-08,4,9
2017-12,2017-12,318,0
2017-12,2018-01,12,1
2017-12,2018-02,15,2
2017-12,2018-03,18,3
2017-12,2018-04,14,4
2017-12,2018-05,11,5
2017-12,2018-06,9,6
2017-12,2018-07,1,7
2017-12,2018-08,11,8
2018-01,2018-01,449,0
2018-01,2018-02,23,1
2018-01,2018-03,25,2
2018-01,2018-04,20,3
2018-01,2018-05,20,4
2018-01,2018-06,11,5
2018-01,2018-07,12,6
2018-01,2018-08,16,7
2018-02,2018-02,419,0
2018-02,2018-03,23,1
2018-02,2018-04,25,2
2018-02,2018-05,19,3
2018-02,2018-06,17,4
2018-02,2018-07,14,5
2018-02,2018-08,13,6
2018-03,2018-03,416,0
2018-03,2018-04,28,1
2018-03,2018-05,21,2
2018-03,2018-06,20,3
2018-03,2018-07,9,4
2018-03,2018-08,8,5
2018-04,2018-04,354,0
2018-04,2018-05,39,1
2018-04,2018-06,21,2
2018-04,2018-07,16,3
2018-04,2018-08,9,4
2018-05,2018-05,331,0
2018-05,2018-06,34,1
2018-05,2018-07,17,2
2018-05,2018-08,13,3
2018-06,2018-06,292,0
2018-06,2018-07,25,1
2018-06,2018-08,16,2
2018-07,2018-07,295,0
2018-07,2018-08,31,1
2018-08,2018-08,229,0
2018-08,2018-09,1,1
